1,Female,Male,blue,yellow,loves sausages,foo,bar,height,age,length,depth,sweetness,hardness,softness,fantasticness,boring-level,happiness
FM103,1,0,0,0,0,1,0,0,81,537,731,739,379,894,756,665,508
MF63,0,1,0,1,0,0,0,428,454,1038,171,876,705,126,37,665,508
FM64,1,0,0,0,0,1,0,74,642,1038,23,535,843,49,37,363,423
MM65,0,1,0,0,0,1,0,44,363,1038,23,23,876,480,239,508,32
MM66,0,1,0,0,0,1,0,76,852,1038,705,130,454,876,705,739,1119
FG104,1,0,0,0,0,0,1,0,454,1038,642,134,642,876,756,130,508
MB105,0,1,0,0,1,0,0,839,,1038,,,,,,,423
MB106,0,1,0,0,1,0,0,0,428,1038,37,130,379,598,239,363,864
FF107,1,0,0,1,0,0,0,74,695,1038,852,876,454,894,93,598,1038
MF108,0,1,0,1,0,0,0,1,852,1038,480,695,37,876,363,68,
MF109,0,1,0,1,0,0,0,74,852,1038,508,598,852,49,642,130,508
MF110,0,1,0,1,0,0,0,0,428,1038,130,665,68,695,354,423,508
FM111,1,0,0,0,0,1,0,81,739,1038,354,6,852,23,477,35,93
FM112,1,0,0,0,0,1,0,195,454,1038,705,126,852,598,744,379,508
MB113,0,1,0,0,1,0,0,1,49,343,23,739,508,642,130,68,1038
MF114,0,1,0,1,0,0,0,195,68,1119,130,705,69,379,535,37,1107
MF115,0,1,0,1,0,0,0,0,428,1119,35,306,535,354,130,876,598
FG67,1,0,0,0,0,0,1,343,695,396,705,130,1107,894,,480,508
NM116,,,0,0,0,1,0,74,428,396,130,130,37,480,,598,773
FG117,1,0,0,0,0,0,1,195,68,535,134,665,454,23,676,354,
FF68,1,0,0,1,0,0,0,343,379,93,480,379,508,423,,37,1119
MF69,0,1,0,1,0,0,0,0,843,93,876,876,130,69,,68,
MM70,0,1,0,0,0,1,0,195,665,93,35,756,876,130,68,665,32
FG118,1,0,0,0,0,0,1,343,598,93,894,731,695,354,510,171,128
FG119,1,0,0,0,0,0,1,839,84,93,756,480,843,508,126,739,171
FF120,1,0,0,1,0,0,0,74,,93,,,,,,,1038
MF121,0,1,0,1,0,0,0,74,,93,,,,,,,93
MF122,0,1,0,1,0,0,0,76,354,93,756,171,1107,69,495,423,756
MF123,0,1,0,1,0,0,0,44,130,93,657,37,705,354,477,598,843
FF124,1,0,0,1,0,0,0,839,428,93,,130,1107,642,740,306,508
MF125,0,1,0,1,0,0,0,0,852,93,130,423,84,642,35,363,93
MM126,0,1,0,0,0,1,0,74,428,93,379,657,454,1107,363,454,756
FG127,1,0,0,0,0,0,1,839,739,664,69,130,535,598,665,876,396
NF128,,,0,1,0,0,0,0,695,171,130,852,379,37,93,642,508
MC129,0,1,1,0,0,0,0,,130,852,134,852,,171,23,84,1107
FG71,1,0,0,0,0,0,1,81,363,130,756,642,642,37,23,,32
MC130,0,1,1,0,0,0,0,195,739,130,130,756,894,705,239,379,
FM131,1,0,0,0,0,1,0,1,454,354,130,130,598,354,6,423,1119
FC1,1,0,1,0,0,0,0,74,81,598,508,642,598,739,396,642,0
FC72,1,0,1,0,0,0,0,0,454,598,130,508,379,876,705,852,171
FG132,1,0,0,0,0,0,1,44,46,598,,130,852,535,379,508,756
MB133,0,1,0,0,1,0,0,195,852,598,,37,68,508,876,363,1038
MB134,0,1,0,0,1,0,0,0,68,598,171,665,379,69,,,32
MB135,0,1,0,0,1,0,0,1,695,598,130,23,894,852,731,535,128
FF136,1,0,0,1,0,0,0,0,,598,,,,,,,508
FF137,1,0,0,1,0,0,0,343,,598,,,598,,,,756
FF138,1,0,0,1,0,0,0,74,,598,,,695,23,850,379,
FF139,1,0,0,1,0,0,0,839,46,598,852,,49,894,175,130,1038
MF140,0,1,0,1,0,0,0,839,363,598,69,894,84,84,739,739,93
FF141,1,0,0,1,0,0,0,76,657,598,130,657,1107,657,,84,614
FC142,1,0,1,0,0,0,0,0,695,598,126,171,598,171,773,535,396
FC143,1,0,1,0,0,0,0,74,81,598,642,37,130,37,126,49,739
FM144,1,0,0,0,0,1,0,0,68,598,423,508,739,894,93,37,32
FM145,1,0,0,0,0,1,0,195,642,480,665,37,68,423,196,69,171
FM146,1,0,0,0,0,1,0,76,665,876,852,35,379,598,396,354,396
MM147,0,1,0,0,0,1,0,0,84,642,705,130,535,876,,130,364
FC73,1,0,1,0,0,0,0,428,81,423,379,664,894,130,756,876,1107
FM74,1,0,0,0,0,1,0,343,354,423,130,1107,454,363,69,49,1119
FG148,1,0,0,0,0,0,1,,843,423,705,69,454,1107,598,657,32
FG149,1,0,0,0,0,0,1,74,81,423,37,665,454,363,1107,49,508
MF150,0,1,0,1,0,0,0,44,,423,,,,,,,
FF151,1,0,0,1,0,0,0,74,379,423,171,23,598,705,676,68,396
MF152,0,1,0,1,0,0,0,1,852,423,665,642,423,508,894,454,32
